variable,cepat_kode,nama,tingkat_pendidikan_id
P,3100007,SUPM NAUTIKA PERIKANAN LAUT,17
P,3180009,SUPM PERIKANAN BUDIDAYA,17
P,3190090,SUPM PERIKANAN DAN KELAUTAN,17
P,3190091,SUPM PERMESINAN PERIKANAN,17
P,3190093,SUPM TEKNIK PERMESINAN,17
P,3190094,SUPM TEKNIKA KAPAL PENANGKAP IKAN,17
P,2100004,SUPM TEKNIKA PERIKANAN LAUT,17
P,3171106,SUPM TEKNOLOGI BUDIDAYA PERIKANAN,17
P,3190095,SUPM TEKNOLOGI HASIL PERIKANAN,17
P,3190096,SUPM TEKNOLOGI PENANGKAPAN IKAN,17
P,3100103,SUPM TEKNOLOGI PENGOLAHAN HASIL PERIKANAN,17
O,3171064,SMK ANALIS KIMIA,18
O,3100008,SMK BANGUNAN GEDUNG,18
O,3171091,SMK MESIN PRODUKSI,18
L,4000048,D-II PENERBANG SAYAP TETAP,25
L,4017054,D-II PENGUJIAN KENDARAAN BERMOTOR,25
u,4413000,D-III ADMINISTRASI,30
u,4413091,D-III ADMINISTRASI BISNIS,30
u,4100139,D-III ADMINISTRASI KEARSIPAN,30
u,4413050,D-III ADMINISTRASI KESEKRETARIATAN,30
u,4480122,D-III ADMINISTRASI LAYANAN KESEHATAN,30
u,4413070,D-III ADMINISTRASI LOGISTIK,30
u,4400196,D-III ADMINISTRASI NEGARA,30
u,4413020,D-III ADMINISTRASI NEGARA,30
u,4480210,D-III ADMINISTRASI NEGARA,30
u,4413101,D-III ADMINISTRASI NIAGA,30
u,4400259,D-III ADMINISTRASI PAJAK,30
u,4413090,D-III ADMINISTRASI PERBANKAN,30
u,4413040,D-III ADMINISTRASI PERKANTORAN,30
u,4100847,D-III ADMINISTRASI PERKANTORAN DAN SEKRETARI,30
u,4480123,D-III ADMINISTRASI PERKANTORAN KEIMIGRASIAN,30
u,4413092,D-III ADMINISTRASI PERPAJAKAN,30
u,4470137,D-III ADMINISTRASI PUBLIK,30
u,4480212,D-III ADMINISTRASI PUBLIK,30
u,4411001,D-III ADMINISTRASI RUMAH SAKIT,30
u,4407000,D-III AGAMA,30
u,4415025,D-III AGRIBISNIS,30
u,4100721,D-III AGRIBISNIS KELAPA SAWIT,30
u,4470888,D-III AGRIBISNIS PERIKANAN,30
u,4415027,D-III AGRIBISNIS PETERNAKAN,30
u,4100054,D-III AGROBISNIS,30
u,4100034,D-III AGROBISNIS PERTANIAN,30
u,4100967,D-III AGROEKOTEKNOLOGI,30
u,4480213,D-III AGROEKOTEKNOLOGI (MINAT HAMA DAN PENYAKIT TUMBUHAN),30
u,4415028,D-III AGROINDUSTRI,30
u,4415011,D-III AGRONOMI,30
u,4400124,D-III AGROTEKNOLOGI,30
u,4480214,D-III AGROTEKNOLOGI (MINAT HAMA DAN PENYAKIT TUMBUHAN),30
u,4301120,D-III AKADEMI KESEHATAN LINGKUNGAN,30
u,4480360,D-III AKADEMI TEKNIK ELEKTROMEDIK,30
u,4401044,D-III AKUNTANSI,30
u,4475159,D-III AKUNTANSI PERPAJAKAN,30
u,4411013,D-III AKUPUNKTUR,30
u,4480124,D-III AKUPUNTUR,30
u,4100610,D-III ALAT BERAT,30
u,4470003,D-III ANALIS FARMASI,30
u,4431010,D-III ANALIS FARMASI DAN MAKANAN,30
u,4411011,D-III ANALIS KESEHATAN,30
u,4430012,D-III ANALIS KIMIA,30
u,4470164,D-III ANALIS LINGKUNGAN,30
u,4400002,D-III ANALIS MEDIS,30
u,4100611,D-III ANALISA FARMASI DAN MAKANAN,30
u,4470140,D-III ANALISIS KIMIA,30
u,4415701,D-III ANALISIS LINGKUNGAN,30
u,4100612,D-III ANIMASI,30
u,4100214,D-III ANTROPOLOGI,30
u,4100977,D-III ANTROPOLOGI SOSIAL,30
u,4400104,D-III ARSIP,30
u,4475163,D-III ARSIPARIS,30
u,4600007,D-III ARSITEKTUR,30
u,4100613,D-III ASURANSI JIWA,30
u,4100614,D-III ASURANSI KERUGIAN,30
u,4475241,D-III ASURANSI KESEHATAN,30
u,4100180,D-III AUDIOLOGI,30
u,4408015,D-III BAHASA ARAB,30
u,4177196,D-III BAHASA BALI,30
u,4480125,D-III BAHASA BELANDA,30
u,4408010,D-III BAHASA INDONESIA,30
u,4408011,D-III BAHASA INGGRIS,30
u,4480126,D-III BAHASA JAWA,30
u,4408013,D-III BAHASA JEPANG,30
u,4100101,D-III BAHASA JERMAN,30
u,4100615,D-III BAHASA KOREA,30
u,4408012,D-III BAHASA MANDARIN,30
u,4470170,D-III BAHASA PERANCIS,30
u,4470162,D-III BIOLOGI,30
u,4480310,D-III BIOLOGI TERAPAN,30
u,4480311,D-III BIOTEKNOLOGI PETERNAKAN,30
u,4100244,D-III BISNIS INTERNASIONAL,30
u,4475161,D-III BROADCAST,30
u,4400071,D-III BROADCASTING,30
u,4480002,D-III BUDI DAYA IKAN,30
u,4480127,D-III BUDI DAYA KELAPA SAWIT,30
u,4480128,D-III BUDI DAYA PERTANIAN LAHAN KERING,30
u,4480129,D-III BUDI DAYA TANAMAN HORTIKULTURA,30
u,4480216,D-III BUDI DAYA TANAMAN HUTAN,30
u,4480130,D-III BUDI DAYA TANAMAN PANGAN,30
u,4480131,D-III BUDI DAYA TANAMAN PERKEBUNAN,30
u,4480132,D-III BUDI DAYA TERNAK,30
u,4400158,D-III BUDIDAYA KELAUTAN,30
u,4470088,D-III BUDIDAYA PERAIRAN,30
u,4415216,D-III BUDIDAYA PERIKANAN,30
u,4415012,D-III BUDIDAYA PERTANIAN,30
u,4480004,D-III BUDIDAYA PERTANIAN DAN PERKEBUNAN,30
u,4100920,D-III BUDIDAYA PETERNAKAN,30
u,4177237,D-III DEMOGRAFI,30
u,4400007,D-III DESAIN,30
u,4480006,D-III DESAIN BUSANA,30
u,4470127,D-III DESAIN GRAFIS,30
u,4100067,D-III DESAIN INTERIOR,30
u,4480217,D-III DESAIN KOMINIKASI VISUAL,30
u,4400008,D-III DESAIN KOMUNIKASI VISUAL,30
u,4416119,D-III DESAIN KOMUNIKASI VISUAL,30
u,4400009,D-III DESAIN PRODUK,30
u,4480133,D-III DESAIN TEKSTIL,30
u,4401000,D-III EKONOMI,30
u,4600027,D-III EKONOMI,30
u,4401016,D-III EKONOMI PEMBANGUNAN,30
u,4100980,D-III EKONOMI SUMBER DAYA,30
u,4404036,D-III EKOWISATA,30
u,4480134,D-III EKOWISATA LAUT,30
u,4609112,D-III ELEKTRO,30
u,4470165,D-III ELEKTROMEDIK,30
u,4400012,D-III ELEKTRONIKA,30
u,4416500,D-III ELEKTRONIKA DAN INSTRUMENTASI,30
u,4100763,D-III ELEKTRONIKA INDUSTRI,30
u,4480135,D-III ENTOMOLOGI PERMUKIMAN,30
u,4431000,D-III FARMASI,30
u,4100620,D-III FILM DAN TELEVISI,30
u,4412010,D-III FISIKA,30
u,4609080,D-III FISIOTERAPI,30
u,4470053,D-III FOTOGRAFI,30
u,4100954,D-III GAMBAR ARSITEKTUR,30
u,4470177,D-III GEODESI,30
u,4406011,D-III GEOFISIKA,30
u,4475170,D-III GEOGRAFI,30
u,4400013,D-III GEOINFORMATIKA,30
u,4100822,D-III GEOLOGI,30
u,4100310,D-III GEOMATIKA,30
u,4411101,D-III GIZI,30
u,4470026,D-III HAMA DAN PENYAKIT TANAMAN,30
u,4480221,D-III HAMA PENYAKIT TUMBUHAN,30
u,4100622,D-III HORTIKULTURA,30
u,4100024,D-III HUBUNGAN INTERNASIONAL,30
u,4405012,D-III HUBUNGAN MASYARAKAT,30
u,4609075,D-III HUKUM,30
u,4480312,D-III HUMANIORA,30
u,4480223,D-III HYGIENE PANGAN,30
u,4100152,D-III ILMU ADMINISTRASI,30
u,4470134,D-III ILMU ADMINISTRASI,30
u,4100037,D-III ILMU ADMINISTRASI NEGARA,30
u,4413100,D-III ILMU ADMINISTRASI NIAGA,30
u,4100725,D-III ILMU ADMINISTRASI PERKANTORAN,30
u,4100726,D-III ILMU ADMINISTRASI PUBLIK,30
u,4400016,D-III ILMU AKUNTANSI,30
u,4480313,D-III ILMU BIOLOGI,30
u,4177205,D-III ILMU DESIGN TERAPAN,30
u,4100072,D-III ILMU EKONOMI,30
u,4177244,D-III ILMU EKONOMI MANAJEMEN,30
u,4475157,D-III ILMU GIZI,30
u,4100991,D-III ILMU GIZI MASYARAKAT,30
u,4480314,D-III ILMU HAMA DAN PENYAKIT TANAMAN,30
u,4100051,D-III ILMU HUKUM,30
u,4400097,D-III ILMU INFORMASI,30
u,4450002,D-III ILMU INFORMASI DAN PERPUSTAKAAN,30
u,4100017,D-III ILMU INFORMASI PERPUSTAKAAN DAN KEARSIPAN,30
u,4400096,D-III ILMU INFORMASI PERPUSTAKAAN DAN KEARSIPAN,30
u,4400130,D-III ILMU INFORMATIKA,30
u,4100015,D-III ILMU KEARSIPAN,30
u,4100012,D-III ILMU KEBIDANAN,30
u,4100990,D-III ILMU KEDOKTERAN,30
u,4480315,D-III ILMU KEDOKTERAN HEWAN,30
u,4100081,D-III ILMU KEHUTANAN,30
u,4100985,D-III ILMU KELUARGA,30
u,4100979,D-III ILMU KEPENDUDUKAN,30
u,4609116,D-III ILMU KEPERAWATAN,30
u,4109671,D-III ILMU KESEHATAN,30
u,4400127,D-III ILMU KESEHATAN LINGKUNGAN,30
u,4100800,D-III ILMU KESEJAHTERAAN SOSIAL,30
u,4100728,D-III ILMU KESEKRETARIATAN,30
u,4400017,D-III ILMU KIMIA,30
u,4450001,D-III ILMU KOMPUTER,30
u,4420050,D-III ILMU KOMUNIKASI,30
u,4470157,D-III ILMU KOMUNIKASI PERIKLANAN,30
u,4100730,D-III ILMU MANAJEMEN,30
u,4177209,D-III ILMU PEMBANGUNAN,30
u,4470117,D-III ILMU PEMERINTAHAN,30
u,4177194,D-III ILMU PENDIDIKAN ANAK USIA DINI,30
u,4100987,D-III ILMU PENDIDIKAN BIMBINGAN DAN KONSELING,30
u,4480225,D-III ILMU PENDIDIKAN LINGKUNGAN,30
u,4100989,D-III ILMU PENDIDIKAN MASYARAKAT,30
u,4100988,D-III ILMU PENDIDIKAN NON FORMAL,30
u,4100982,D-III ILMU PERENCANAAN WILAYAH,30
u,4100983,D-III ILMU PERENCANAAN WILAYAH DAN PEDESAAN,30
u,4100827,D-III ILMU PERIKANAN,30
u,4416110,D-III ILMU PERPUSTAKAAN,30
u,4100318,D-III ILMU PERPUSTAKAAN DAN ILMU KEARSIPAN,30
u,4470077,D-III ILMU PERPUSTAKAAN DAN INFORMASI,30
u,4470085,D-III ILMU PERPUSTAKAAN DAN INFORMASI ISLAM,30
u,4177245,D-III ILMU PETERNAKAN,30
u,4411102,D-III ILMU REKAM MEDIS,30
u,4100978,D-III ILMU SAINS POLITIK,30
u,4177247,D-III ILMU SEJARAH,30
u,4470135,D-III ILMU SOSIAL,30
u,4470089,D-III ILMU SOSIATRI,30
u,4100772,D-III ILMU TANAH,30
u,4100041,D-III ILMU TRANSPORTASI DARAT,30
u,4100624,D-III INFORMASI PERPUSTAKAAN DAN KEARSIPAN,30
u,4100671,"D-III INFORMASI, PERPUSTAKAAN DAN KEARSIPAN",30
u,4470138,D-III INFORMATIKA,30
u,4480226,D-III INSTRUMENTASI DAN METROLOGI,30
u,4480136,D-III INTRUMENTASI DAN METROLOGI,30
u,4100021,D-III JAMU,30
u,4609095,D-III JURNALISTIK,30
u,4480137,D-III JURNALISTIK MODE,30
u,4100008,D-III KARTOGRAFI,30
u,4480013,D-III KARTOGRAFI DAN PENGINDERAAN JAUH,30
u,4460010,D-III KEARSIPAN,30
u,4100019,D-III KEARSIPAN/KEPERPUSTAKAAN,30
u,4411200,D-III KEBIDANAN,30
